"record_id","admission_date_raw","indexed_end_date_raw","admission_date","indexed_end_date","elapsed_days","geography","population_boundary","elapsed_unit"
"smdswhr_967_96719","18050219","18050417","1805-02-19","1805-04-17","57","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_971_97143","18050219","18050221","1805-02-19","1805-02-21","2","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_971_97144","18050219","18050221","1805-02-19","1805-02-21","2","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_884_88434","18050221","18050930","1805-02-21","1805-09-30","221","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_887_88786","18050221","18050228","1805-02-21","1805-02-28","7","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86251","18050222","18050424","1805-02-22","1805-04-24","61","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_876_87642","18050222","18050408","1805-02-22","1805-04-08","45","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_887_88787","18050223","18050228","1805-02-23","1805-02-28","5","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90968","18050224","18050423","1805-02-24","1805-04-23","58","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86252","18050225","18050322","1805-02-25","1805-03-22","25","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86253","18050226","18050401","1805-02-26","1805-04-01","34","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_852_85221","18050227","18060102","1805-02-27","1806-01-02","309","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_909_90969","18050227","18050701","1805-02-27","1805-07-01","124","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_946_94652","18050227","18050331","1805-02-27","1805-03-31","32","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_954_95439","18050227","18050507","1805-02-27","1805-05-07","69","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_971_97145","18050227","18050315","1805-02-27","1805-03-15","16","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86254","18050301","18061003","1805-03-01","1806-10-03","581","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_939_94008","18050301","18051112","1805-03-01","1805-11-12","256","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_876_87643","18050302","18050425","1805-03-02","1805-04-25","54","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_876_87644","18050302","18050425","1805-03-02","1805-04-25","54","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_876_87645","18050302","18050425","1805-03-02","1805-04-25","54","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_876_87646","18050302","18050425","1805-03-02","1805-04-25","54","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_919_91984","18050302","18050703","1805-03-02","1805-07-03","123","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86255","18050305","18050408","1805-03-05","1805-04-08","34","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93584","18050305","18050416","1805-03-05","1805-04-16","42","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93585","18050305","18050425","1805-03-05","1805-04-25","51","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93586","18050305","18060815","1805-03-05","1806-08-15","528","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93587","18050305","18091012","1805-03-05","1809-10-12","1682","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93588","18050305","18050625","1805-03-05","1805-06-25","112","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86256","18050306","18050405","1805-03-06","1805-04-05","30","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_852_85222","18050308","18050308","1805-03-08","1805-03-08","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_919_91985","18050308","18050309","1805-03-08","1805-03-09","1","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_971_97146","18050308","18050308","1805-03-08","1805-03-08","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98002","18050308","18050309","1805-03-08","1805-03-09","1","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98003","18050308","18050309","1805-03-08","1805-03-09","1","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98004","18050308","18050309","1805-03-08","1805-03-09","1","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
