year,miningValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices_state,diamondCuttingValueAddedCurrentPrices,diamondCuttingValueAddedCurrentPrices_state,paperValueAddedCurrentPrices,printingValueAddedCurrentPrices,printingValueAddedCurrentPrices_state,woodworkingValueAddedCurrentPrices,woodworkingValueAddedCurrentPrices_state,foodstuffsValueAddedCurrentPrices,textilesValueAddedCurrentPrices,clothingValueAddedCurrentPrices,leatherValueAddedCurrentPrices,chemicalsValueAddedCurrentPrices,metalsAndEngineeringValueAddedCurrentPrices,shipbuildingValueAddedCurrentPrices,utilitiesValueAddedCurrentPrices,constructionValueAddedCurrentPrices,industryTotalValueAddedCurrentPrices
1847,4.026040039024927,,blank,,blank,0.6425551656449923,,blank,,blank,56.749617486136636,30.67746212943654,19.53259366427093,8.414814814814815,2.041581340065836,7.7953259290004135,4.184018962238867,1.3915134388854045,18.9108,163.79855027443207
1848,3.7170895274414577,,blank,,blank,0.5770514134069489,,blank,,blank,53.81283325290131,24.4824460669205,20.742168679193256,10.78148148148148,2.106506774223398,8.018250298800488,4.410296343401549,1.544907011450052,16.9332,156.11606765552258
1849,3.671491275543246,,blank,,blank,0.6448510514293682,,blank,,blank,50.647860718593094,27.23075404374056,19.849428300401335,8.414814814814815,2.153527616557513,6.72571332960174,4.904941908371933,1.5638088515339104,17.0568,151.59339363154416
1850,0,3.8,,1.695032781251334,,0.6506650285140755,0.67548925808271,,2.1802221784235636,,55.840438635397575,18.22943843529532,18.6,7.1,2.2,6.623521146443633,4.93923,1.60665749789604,17.427599999999998,145.71993888639764
1851,3.954878366945738,3.8193852536702946,,1.6977962318947792,,0.6144280298196305,0.7100177517405315,,2.1585854142477316,,50.53969363806053,19.488734523097907,19.419846881686432,7.5145583281638135,2.1347735056147603,6.695170660509791,4.630739999999999,1.6413970779762206,16.9332,141.95320566342815
1852,4.504699546025589,3.833703008251842,,1.7005641878549025,,0.619188476401737,0.7611139532979558,,2.2781989698127587,,44.44676167955742,23.202130396567217,22.108202674711634,7.745667261011225,2.2474322032499527,6.785854511374531,8.48517,1.6711851950380574,17.6748,148.06467206315483
1853,4.018807814612395,4.213680216195015,,1.7033366564768244,,0.5720137849650708,0.8613888718168756,,2.612284236196977,,42.97052074259044,22.935769823444193,23.215667254313388,7.7015960735795215,2.4091202118260475,4.629816940117304,13.18371,1.9424987662494881,17.922,150.89221139238353
1854,4.475642966157937,4.615163290613469,,1.7061136451176397,,0.5602654140856078,0.7438380226404002,,1.6338066342369055,,55.507574439113924,27.52297671727196,25.17532357188849,7.370629516021335,2.761443915343472,5.25761562914402,10.631039999999999,2.005214731775874,17.7984,167.76504849341103
1855,4.381098512949624,5.010533608721381,,1.7088951611464396,,0.6234992760430195,0.7711910124960023,,1.605927182693816,,56.523807000851185,21.726671846769634,21.44506291947153,7.110150836773213,2.6933923694001454,6.926249566267277,9.7293,2.173269962270362,18.2928,160.72184925585364
1856,6.58408905736702,5.456581253182192,,1.7399734633814234,,0.8228030799704724,0.7099529755058485,,1.4208695120671748,,52.70913836320631,19.233762651478887,21.041174222631962,6.883265498921075,2.907965702537472,9.938769206063581,15.248219999999998,2.271108098825842,18.9108,165.87847308513926
